ticker,name
AAPL,Apple Inc.
AMZN,"Amazon.com, Inc."
MSFT,Microsoft Corporation
TSLA,"Tesla, Inc."
AMAT,"Applied Materials, Inc."
AMD,AMD
APP,Applovin Corporation
ASML,ASML
AVGO,AVGO
AZN,AZN
BKNG,Booking Holdings Inc. Common St
COST,Costco Wholesale Corporation
CSCO,"Cisco Systems, Inc."
GOOG,Alphabet Inc.
INTC,Intel Corporation
INTU,Intuit Inc.
LIN,Linde plc
LRCX,Lam Research Corporation
META,"Meta Platforms, Inc."
MU,"Micron Technology, Inc."
NFLX,"Netflix, Inc."
NVDA,NVIDIA Corporation
PDD,PDD Holdings Inc.
PEP,"Pepsico, Inc."
PLTR,Palantir Technologies Inc.
QCOM,QUALCOMM Incorporated
SHOP,Shopify Inc.
TMUS,"T-Mobile US, Inc."
TXN,Texas Instruments Incorporated
